id,url,authors,headline,date
45,https://www.theverge.com/2023/4/5/23672037/syprathree-spyra-water-guns-powerful,Mitchell Clark,’s strongest water gun’ is back and wetter than ,"Thu, 06 Apr 2023 00:38:17 GMT"
46,https://www.theverge.com/2023/4/5/23671673/apple-vr-ar-mixed-reality-headset-worst-possible-time,Jay Peters,t be getting into VR at the worst possible ,"Wed, 05 Apr 2023 20:24:03 GMT"
47,https://www.theverge.com/2023/4/5/23671490/donald-trump-protest-arrest-content-creators-influencers-truth-social,Makena Kelly,"mp was arrested, please like and subsc","Wed, 05 Apr 2023 19:50:50 GMT"
48,https://www.theverge.com/2023/4/5/23671434/hbo-max-clone-high-revival-teaser-trailer,Charles Pulliam-Moore,Clone High teaser reminds us that everything that’s old is new a,"Wed, 05 Apr 2023 18:03:36 GMT"
49,https://www.theverge.com/2023/4/5/23671074/diablo-4-endgame-level-cap-nightmare-dungeons,Ash Parrish,s endgame looks expansive (and a bit confus,"Wed, 05 Apr 2023 17:17:43 GMT"
50,https://www.theverge.com/2023/4/5/23669768/jeep-wrangler-4xe-plug-in-hybrid-2024-photos-specs,Andrew J. Hawkins,ubling down on plug-in hybrids with the 2024 Wrangler,"Wed, 05 Apr 2023 15:35:00 GMT"
51,https://www.theverge.com/2023/4/5/23671089/resident-evil-4-remake-spanish-language-subtitles,Diego Nicolás Argüello,vil 4 remake updates its Spanish — but not everyone will se,"Wed, 05 Apr 2023 15:00:00 GMT"
52,https://www.theverge.com/2023/4/5/23668469/ram-1500-rev-truck-range-tow-photos-specs,Andrew J. Hawkins,EV swings for the fences with an estimated 500 miles of r,"Wed, 05 Apr 2023 13:30:00 GMT"
53,https://www.theverge.com/2023/4/5/23670068/lego-latest-x-wing-starfighter-star-wars-day-price,Emma Roth,ing Starfighter gets a refresh in time for Star Wars,"Wed, 05 Apr 2023 13:15:00 GMT"
54,https://www.theverge.com/2023/4/5/23668320/amd-ryzen-7-7800x3d-review-cpu-processor-benchmark-test,Tom Warren,7 7800X3D: your next gaming CPU - $4,"Wed, 05 Apr 2023 13:00:00 GMT"
55,https://www.theverge.com/2023/4/4/23670193/spotify-live-shut-down-obamas-audible-amazon-jay-shetty-iheart,Ariel Shapiro,ows how the live audio boom has gone ,"Tue, 04 Apr 2023 20:45:00 GMT"
56,https://www.theverge.com/2023/4/4/23669875/asus-rog-ally-handheld-gaming-pc-announcement,Jay Peters,nced its handheld gaming PC in the worst way poss,"Tue, 04 Apr 2023 19:30:09 GMT"
57,https://www.theverge.com/2023/4/4/23669682/overwatch-2-new-hero-lifeweaver,Ash Parrish,2’s new hero Lifeweaver puts down roots in seas,"Tue, 04 Apr 2023 18:01:43 GMT"
58,https://www.theverge.com/2023/4/4/23669743/barbie-movie-trailer-teaser-2,Andrew Webster,Barbie in the new Barbie movie tra,"Tue, 04 Apr 2023 16:25:11 GMT"
59,https://www.theverge.com/2023/4/4/23669641/pokemon-stadium-n64-nintendo-switch-online-release-date,Jay Peters,adium is coming to Nintendo Switch Online next week — but with a c,"Tue, 04 Apr 2023 16:02:52 GMT"
60,https://www.theverge.com/2023/4/4/23669668/microsoft-surface-thunderbolt-4-dock-specs-pricing-features,Tom Warren,announces $299.99 Surface Thunderbolt 4 Dock that connects via U,"Tue, 04 Apr 2023 15:52:03 GMT"
61,https://www.theverge.com/2023/4/4/23669557/disney-florida-ron-desantis-investigation-campaign-election,Makena Kelly,in a land war with the state of Flo,"Tue, 04 Apr 2023 14:43:43 GMT"
62,https://www.theverge.com/2023/4/4/23669523/gm-apple-carplay-android-auto-ev-restrict-access,Patrick George,hates GM’s decision to kill Apple CarPlay and Android Auto for its,"Tue, 04 Apr 2023 14:33:03 GMT"
63,https://www.theverge.com/2023/4/4/23669463/silicon-valley-bank-collapse-brex-ceo-henrique-dubugras-banking-crisis-fintech,Nilay Patel,"ilicon Valley Bank melt down from the front row, with Brex CEO Henrique Dubu","Tue, 04 Apr 2023 14:02:59 GMT"
64,https://www.theverge.com/2023/4/4/23668459/titmouse-5-second-night-interviews,The Verge,w Titmouse’s animators brought their 5 Second Night short films to ,"Tue, 04 Apr 2023 14:00:34 GMT"
65,https://www.theverge.com/2023/4/4/23669383/walmart-website-redesign-amazon,Emma Roth,redesigned website looks better than Am,"Tue, 04 Apr 2023 13:50:51 GMT"
66,https://www.theverge.com/2023/4/4/23669405/apple-weather-app-down-iphone-issues-problems,Tom Warren,ather app on iPhone is down for ,"Tue, 04 Apr 2023 13:02:21 GMT"
67,https://www.theverge.com/2023/4/4/23668722/elon-musk-twitter-blue-checkmark-verified,Elizabeth Lopatto,s obsession with blue checks is a verified pro,"Tue, 04 Apr 2023 12:00:00 GMT"
68,https://www.theverge.com/2023/4/4/23668770/motorola-edge-40-pro-specs-screen-battery-camera-price,Allison Johnson,s getting serious with the Edge 40,"Tue, 04 Apr 2023 11:00:00 GMT"
69,https://www.theverge.com/2023/4/4/23668235/spider-man-across-the-spider-verse-trailer-2-new-suit,Charles Pulliam-Moore,wants a piece of Miles in Spider-Man: Across the Spider-Verse’s latest tra,"Tue, 04 Apr 2023 07:42:17 GMT"
